Kanji	Onyomi	Kunyomi	English
也	ヤ エ マ	なり か	to be (classical)
丘	キュウ オ		hill, knoll
棟	トウ	むね むな-	ridgepole, ridge
壌	ジョウ	つち	lot, earth, soil
漫	マン	みがりに	cartoon, involuntarily, in spite of oneself, corrupt
玄	ゲ		mysterious, occultness
粘	ネン	ねば.る	sticky, glutinous, greasy, persevere
悟	ゴ	さと.る	enlightenment, perceive, discern, realize, understand
舗			shop, store
妊	ニン ジン	はら.む みごも.る	pregnancy
熟	ジュク	う.れる	mellow, ripen, mature, acquire skill
旭	キョク アサ		rising sun, morning sun
恩	オ		grace, kindness, goodness, favor, mercy, blessing, benefit
騰	トウ		inflation, advancing, going
往	オウ ユ.	い.く いにしえ さき.に	journey, chase away, let go, going, travel
豆	トウ ズ	まめ まめ	beans, pea, midget
遂	スイ	と.げる つい.に	consummate, accomplish, attain, commit (suicide)
狂	キョウ	くる.う くる.おしい くるお.しい	lunatic, insane, crazy, confuse
岐	キ		branch off, fork in road, scene, arena, theater
陛	ヘイ		highness, steps (of throne)
緯	イ	よこいと ぬき	horizontal, woof, left & right, latitude
培	バイ	つちか.う	cultivate, foster
衰	スイ	おとろ.える	decline, wane, weaken
艇	テイ		rowboat, small boat
屈	クツ カガ.メ	かが.む	yield, bend, flinch, submit
径	ケイ	みち こみち さしわたし ただちに	diameter, path, method
淡	タン	あわ.い	thin, faint, pale, fleeting
抽	チュウ	ひき-	pluck, pull, extract, excel
披	ヒ		expose, open
廷	テ		courts, imperial court, government office
錦	キン ニシ		brocade, fine dress, honors
准	ジュン		quasi-, semi-, associate
暑	ショ	あつ.い	sultry, hot, summer heat
磯	キ イ		seashore, beach
奨	ショウ ソウ スス.メ		exhort, urge, encourage
浸	シン	ひた.す ひた.る	immersed, soak, dip, steep, moisten, wet, dunk
剰	ジョウ	あまつさえ あま.り あま.る	surplus, besides
胆	タン キ		gall bladder, courage, pluck, nerve
繊	セン		slender, fine, thin kimono
駒	ク	こま	pony, horse, colt
虚	キョ コ	むな.しい うつ.ろ	void, emptiness, unpreparedness, crack, fissure, untruth
霊	レイ リョウ	たま	spirits, soul
帳	チョウ	とばり	notebook, account book, album
悔	カイ	く.いる く.やむ くや.しい	repent, regret
諭	ユ サト.		rebuke, admonish, charge, warn, persuade
惨	サン ザン	みじ.め いた.む むご.い	wretched, disaster, cruelty, harsh
虐	ギャク	しいた.げる	tyrannize, oppress
翻	ホン ハン	ひるがえ.る ひるがえ.す	flip, turn over, wave, flutter, change (mind)
墜	ツイ		crash, fall (down)
沼	ショウ	ぬま	marsh, lake, bog, swamp, pond
据	キョ	す.える す.わる	set, lay a foundation, install, equip, squat down, sit down
肥	ヒ フト.	こ.える こえ こ.やす こ.やし	fertilizer, get fat, fertile, manure, pamper
徐	ジョ	おもむ.ろに	gradually, slowly, deliberately, gently
糖	トウ		sugar
搭	トウ		board, load (a vehicle), ride
盾	ジュン	たて	shield, escutcheon, pretext
脈	ミャク	すじ	vein, pulse, hope
滝	ロウ ソウ タ		waterfall, rapids, cascade
軌	キ		rut, wheel, track, model, way of doing
俵	ヒョウ	たわら	bag, bale, sack, counter for bags
妨	ボウ	さまた.げる	disturb, prevent, hamper, obstruct
擦	サツ	す.る す.れる -ず.れ こす.る こす.れる	grate, rub, scratch, scrape, chafe, scour
鯨	ゲイ	くじら	whale
荘	ソウ ショウ チャン オゴソ.	ほうき	villa, inn, cottage, feudal manor
諾	ダク		consent, assent, agreement
雷	ライ カミナ		thunder, lightening bolt
漂	ヒョウ	ただよ.う	drift, float (on liquid)
懐	カイ エ オモ.	ふところ なつ.かしい なつ.かしむ なつ.く なつ.ける なず.ける いだ.く	pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast
勘	カ		intuition, perception
栽	サイ		plantation, planting
拐	カイ		kidnap, falsify
駄	ダ タ		burdensome, pack horse, horse load, send by horse
添	テン モ.	そ.える そ.う も.える	annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate
冠	カン カンム		crown, best, peerless
斜	シャ	なな.め はす	diagonal, slanting, oblique
鏡	キョウ ケイ カガ		mirror, speculum, barrel-head, round rice-cake offering
聡	ソウ ミミザト.	さと.い	wise, fast learner
浪	ロ		wandering, waves, billows
亜	ア アシア ツ.		Asia, rank next, come after, -ous
覧	ラン	み.る	perusal, see
詐	サ	いつわ.る	lie, falsehood, deceive, pretend
壇	ダン タン		podium, stage, rostrum, terrace
勲	クン イサ		meritorious deed, merit
魔	マ		witch, demon, evil spirit
酬	シュウ シュ トウ	むく.いる	repay, reward, retribution
紫	シ ムラサ		purple, violet
曙	ショ	あけぼの	dawn, daybreak
紋	モ		family crest, figures
卸	シャ	おろ.す おろし おろ.し	wholesale
奮	フン	ふる.う	stirred up, be invigorated, flourish
欄	ラン	てすり	column, handrail, blank, space
逸	イツ ハグ.レ	そ.れる そ.らす	deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge
涯	ガイ	はて	horizon, shore
拓	タク ヒラ.		clear (the land), open, break up (land)
眼	ガン ゲン	まなこ め	eyeball
獄	ゴク		prison, jail
尚	ショウ ナ		esteem, furthermore, still, yet
彫	チョウ	ほ.る -ぼ.り	carve, engrave, chisel
穏	オン	おだ.やか	calm, quiet, moderation
顕	ケン アラワ.レ	あきらか	appear, existing
巧	コウ ウマ.	たく.み たく.む	adroit, skilled, ingenuity
矛	ム ボウ	ほこ	halberd, arms, festival float
垣	エン カ		hedge, fence, wall
欺	ギ	あざむ.く	deceit, cheat, delude
釣	チョウ	つ.る つ.り つ.り	angling, fish, catch, allure, ensnare
萩	シュウ ハ		bush clover
粛	シュク スク	つつし.む	solemn, quietly, softly
栗	リツ リ オノノ	くり	chestnut
愚	グ	おろ.か	foolish, folly, absurdity, stupid
嘉	カ ヨ	よみ.する	applaud, praise, esteem
遭	ソウ	あ.う あ.わせる	encounter, meet, party, association, interview, join
架	カ	か.ける か.かる	erect, frame, mount, support, shelf, construct
鬼	キ	おに おに-	ghost, devil
庶	ショ		commoner, all, bastard
稚	チ ジ オデ	いとけない おさない おくて	immature, young
滋			nourishing, more & more, be luxuriant, planting, turbidity
幻	ゲン	まぼろし	phantasm, vision, dream, illusion, apparition
煮	シャ	に.る -に に.える に.やす	boil, cook
姫	キ	ひめ ひめ-	princess
誓	セイ	ちか.う	vow, swear, pledge
把	ハ		grasp, faggot, bunch, counter for bundles
践	セン	ふ.む	tread, step on, trample, practice, carry through
呈	テイ		display, offer, present, send, exhibit
疎	ソ ショ	うと.い うと.む まば.ら	alienate, rough, neglect, shun, sparse
仰	ギョウ コウ	あお.ぐ おお.せ お.っしゃる おっしゃ.る	face-up, look up, depend, seek, respect, rever, drink, take
剛	ゴ		sturdy, strength
疾	シツ		rapidly
征	セ		subjugate, attack the rebellious, collect taxes
砕	サイ	くだ.く くだ.ける	smash, break, crush, familiar, popular
謡	ヨウ	うた.い うた.う	noh chanting
嫁	カ	よめ とつ.ぐ	marry into, bride
謙	ケ		self-effacing, humble oneself, condescend, be modest
后	コウ ゴ	きさき	empress, queen, after, behind, back, later
嘆	タン	なげ.く なげ.かわしい	sigh, lament, moan, grieve
菌	キン		germ, fungus, bacteria
鎌	レン ケン カ		sickle, scythe, trick
巣	ソウ	す す.くう	nest, rookery, hive, cobweb, den
頻	ヒン	しき.りに	repeatedly, recur
琴	キン	こと	harp, koto
班	ハン		squad, corps, unit, group
棚	ホウ	たな -だな	shelf, ledge, rack, mount, mantle, trellis
潔	ケツ イサギヨ.		undefiled, pure, clean, righteous, gallant
酷	コク	ひど.い	cruel, severe, atrocious, unjust
宰	サ		superintend, manager, rule
廊	ロウ		corridor, hall, tower
寂	ジャク セキ	さび さび.しい さび.れる さみ.しい	loneliness, quietly, mellow, mature, death of a priest
辰	シン ジン タ		sign of the dragon, 7-9AM, fifth sign of Chinese zodiac
霞	カ ゲ	かすみ かす.む	be hazy, grow dim, blurred
伏	フク フ.	ふ.せる	prostrated, bend down, bow, cover, lay (pipes)
碁	ゴ		Go
俗	ゾク		vulgar, customs, manners, worldliness, mundane things
漠	バク		vague, obscure, desert, wide
邪	ジャ	よこし.ま	wicked, injustice, wrong
晶	ショ		sparkle, clear, crystal
墨	ボク ス		black ink, India ink, ink stick, Mexico
鎮	チン オサ	しず.める しず.まる	tranquilize, ancient peace-preservation centers
洞	ドウ ホ		den, cave, excavation
履	リ	は.く	footgear, shoes, boots, put on (the feet
劣	レツ	おと.る	inferiority, be inferior to, be worse
那	ナ ダ イカ	なに なんぞ	what?
殴	オウ	なぐ.る	assault, hit, beat, thrash
娠	シン		with child, pregnancy
奉	ホウ ブ ホウ.ズ	たてまつ.る まつ.る	observance, offer, present, dedicate
憂	ユウ ウ.	うれ.える うれ.い う.い	melancholy, grieve, lament, be anxious, sad, unhappy
朴	ボク	ほう ほお	crude, simple, plain, docile
亭	テイ チン		pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name
淳	ジュン シュン アツ.		pure
怪	カイ ケ	あや.しい あや.しむ	suspicious, mystery, apparition
鳩	キュウ ク アツ.メ	はと	pigeon, dove
酔	スイ	よ.う よ.い	drunk, feel sick, poisoned, elated, spellbound
惜	セキ	お.しい お.しむ	pity, be sparing of, frugal, stingy, regret
穫	カク		harvest, reap
佳			excellent, beautiful, good, pleasing, skilled
潤	ジュン ウル.	うるお.う うるお.す	wet, be watered, profit by, receive benefits, favor, charm, steep
悼	トウ	いた.む	lament, grieve over
乏	ボウ	とぼ.しい とも.しい	destitution, scarce, limited
該	ガイ		above-stated, the said, that specific
赴	フ	おもむ.く	proceed, get, become, tend
桑	ソウ ク		mulberry
桂	ケイ カツ		Japanese Judas-tree, cinnamon tree
髄	ズイ		marrow, pith
虎	コ ト		tiger, drunkard
盆	ボン		basin, lantern festival, tray
晋	シン スス.		advance
穂	スイ		ear, ear (grain), head, crest (wave)
壮	ソウ サカ		robust, manhood, prosperity
堤	テイ	つつみ	dike, bank, embankment
飢	キ	う.える	hungry, starve
傍	ボウ ソ	かたわ.ら わき おか- はた	bystander, side, besides, while, nearby, 3rd person
疫	エキ ヤク		epidemic
累	ルイ		accumulate, involvement, trouble, tie up, continually
痴	チ	し.れる おろか	stupid, foolish
搬	ハン		conveyor, carry, transport
晃	コウ アキラ		clear
癒	ユ	い.える いや.す	healing, cure, quench (thirst), wreak
桐	トウ ドウ キ		paulownia
寸	ス		measurement, foot, 10
郭	カク クル		enclosure, quarters, fortification, red-light district
尿	ニョウ		urine
凶	キョウ		villain, evil, bad luck, disaster
吐	ト	は.く つ.く	spit, vomit, belch, confess, tell (lies)
宴	エン ウタ		banquet, feast, party
鷹	ヨウ オウ	たか	hawk
賓	ヒン		V.I.P., guest
虜	リョ ロ	とりこ とりく	captive, barbarian, low epithet for the enemy
陶	ト		pottery, porcelain
鐘	ショウ	かね	bell, gong, chimes
憾	カン	うら.む	remorse, regret, be sorry
猪	チョ イノシ	い	boar
紘	コウ ツナ	おおづな つな	large
磁	ジ		magnet, porcelain
弥	ミ ビ ワタ.	いや や あまねし いよいよ とおい ひさし ひさ.しい	all the more, increasingly
昆	コン		descendants, elder brother, insect
粗	ソ	あら.い あら-	coarse, rough, rugged
訂	テイ		revise, correct, decide
芽	ガ		bud, sprout, spear, germ
庄	ショウ ソ ソウ ホ		level
傘	サン	かさ	umbrella
敦	トン タイ ダン チョウ アツ.		industry, kindliness
騎	キ		equestrian, riding on horses, counter for equestrians
寧	ネイ ムシ.		rather, preferably
循	ジュン		sequential, fellow
忍	ニン シノ.バセ	しの.ぶ	endure, bear, put up with, conceal, secrete, spy, sneak
怠	タイ	おこた.る なま.ける	neglect, laziness
如	ジョ ニョ ゴト.		likeness, like, such as, as if, better, best, equal
寮	リョウ		dormitory, hostel, villa, tea pavillion
祐	ユウ ウ タス.ケ		help
鵬	ホウ	おおとり	phoenix
鉛	エン	なまり	lead
珠	シュ タ		pearl, gem, jewel
凝	ギョウ	こ.る こ.らす こご.らす こご.らせる こご.る	congeal, freeze, stiff, be absorbed in
苗	ビョウ ミョウ	なえ なわ	seedling, sapling, shoot
獣	ジュウ	けもの けだもの	animal, beast
哀	アイ	あわ.れ あわ.れむ かな.しい	pathetic, grief, sorrow, pathos, pity, sympathize
跳	チョウ	は.ねる と.ぶ -と.び	hop, leap up, spring, jerk, prance, buck, splash, sputter, snap
匠	ショウ	たくみ	artisan, workman, carpenter
垂	スイ ナンナント.	た.れる た.らす た.れ -た.れ	droop, suspend, hang, slouch
蛇	ジャ ダ イ ヤ ヘ		snake, serpent, hard drinker
澄	チョウ -ス.マ	す.む す.ます	lucidity, be clear, clear, clarify, settle, strain, look grave
縫	ホウ ヌ.		sew, stitch, embroider
僧	ソウ		Buddhist priest, monk
眺	チョウ	なが.める	stare, watch, look at, see, scrutinize
亘	コウ カン モト.メ	わた.る	span, request
呉	ゴ ク	く.れる	give, do something for
凡	ボン ハン スベ.	およ.そ おうよ.そ	mediocre
憩	ケイ	いこ.い いこ.う	recess, rest, relax, repose
媛	エン	ひめ	beautiful woman, princess
溝	コウ ミ		gutter, ditch, sewer, drain, 10**32
恭	キョウ ウヤウヤ.シ		respect, reverent
刈	ガイ カイ カ.		reap, cut, clip, trim, prune
睡	スイ		drowsy, sleep, die
錯	サク シャク		confused, mix, be in disorder
伯	ハ		chief, count, earl, uncle, Brazil
笹	サ		bamboo grass
穀	コ		cereals, grain
陵	リョウ	みささぎ	mausoleum, imperial tomb
霧	ム ボウ ブ	きり	fog, mist
魂	コン	たましい たま	soul, spirit
弊	ヘイ		abuse, evil, vice, breakage
妃	ヒ キサ		queen, princess
舶	ハク		liner, ship
餓	ガ	う.える	starve, hungry, thirst
窮	キュウ キョウ	きわ.める きわ.まる きわ.まり きわ.み	hard up, destitute, suffer, perplexed, cornered
掌	ショウ	てのひら たなごころ	manipulate, rule, administer, conduct, palm of hand
麗	レイ ウラ.ラ	うるわ.しい	lovely, companion
綾	リン ア		design, figured cloth, twill
臭	シュウ	くさ.い -くさ.い にお.う にお.い	stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright
悦	エツ ヨロコ.バ	よろこ.ぶ	ecstasy, joy, rapture
刃	ジン ニン キ.	は やいば	blade, sword, edge
縛	バク	しば.る	truss, arrest, bind, tie, restrain
暦	レキ	こよみ	calendar, almanac
宜	ギ ヨロ.シ	よろ.しい	best regards, good
盲	モウ	めくら	blind, blind man, ignoramus
粋	スイ	いき	chic, style, purity, essence, pith, cream, elite, choice
辱	ジョク	はずかし.める	embarrass, humiliate, shame
毅	キ ギ ツヨ.		strong
轄	カツ	くさび	control, wedge
猿	エン サ		monkey
弦	ゲン	つる	bowstring, chord, hypotenuse
稔	ネン ジン ニン ミノ	みの.る	harvest, ripen
窒	チツ		plug up, obstruct
炊	スイ -ダ.	た.く	cook, boil
洪	コ		deluge, flood, vast
摂	セツ ショウ ト.	おさ.める かね.る	vicarious, surrogate, act in addition to
飽	ホウ ア.	あ.きる あ.かす	sated, tired of, bored, satiate
冗	ジョウ		superfluous, uselessness
桃	トウ モ		peach tree
狩	シュ -ガ.	か.る か.り	hunt, raid, gather
朱	シュ ア		vermilion, cinnabar, scarlet, red, bloody
渦	カ	うず	whirlpool, eddy, vortex
紳	シ		sire, good belt, gentleman
枢	スウ シュ	とぼそ からくり	hinge, pivot, door
碑	ヒ	いしぶみ	tombstone, monument
鍛	タン キタ.エ		forge, discipline, train
刀	トウ ソ	かたな	sword, saber, knife
鼓	コ	つづみ	drum, beat, rouse, muster
裸	ラ	はだか	naked, nude, uncovered, partially clothed
猶	ユウ ユ	なお	furthermore, still, yet
塊	カイ ケ	かたまり つちくれ	clod, lump, chink, clot, mass
旋	セン		rotation, go around
弓	キュウ ユ		bow, bow (archery, violin)
幣	ヘイ ヌ		cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper
膜	マク		membrane
扇	セン オウ		fan, folding fan
腸	チョウ	はらわた	intestines, guts, bowels, viscera
槽	ソウ	ふね	vat, tub, tank
慈	ジ イツク.シ		mercy
楊	ヨウ ヤナ	かわ	willow
伐	バツ ハツ カ ボチ	き.る そむ.く う.つ	fell, strike, attack, punish
駿	シュン スン スグ.レ		a good horse, speed, a fast person
漬	シ	つ.ける つ.かる -づ.け -づけ	pickling, soak, moisten, steep
糾	キュウ	ただ.す	twist, ask, investigate, verify
亮	リョウ アキラ		clear, help
墳	フン		tomb, mound
坪	ヘイ	つぼ	two-mat area, ~36 sq ft
紺	コン		dark blue, navy
娯	ゴ		recreation, pleasure
椿	チン チュン ツバ		camellia
舌	ゼツ	した	tongue, reed, clapper
羅	ラ		gauze, thin silk, Rome
峡	キョウ コウ ハザ		gorge, ravine
俸	ホウ		stipend, salary
厘	リン		rin, 1, 10sen, 1, 10bu
峰	ホウ	みね	summit, peak
圭	ケイ		square jewel, corner, angle, edge
醸	ジョウ	かも.す	brew, cause
蓮	レン	はす はちす	lotus
弔	チョウ	とむら.う とぶら.う	condolences, mourning, funeral
乙	オツ イツ	おと- きのと	the latter, duplicate, strange, witty
汁	ジュウ	しる -しる つゆ	soup, juice, broth, sap, gravy, pus
尼	ニ	あま	nun
遍	ヘン	あまね.く	everywhere, times, widely, generally
衡	コ		equilibrium, measuring rod, scale
薫	クン カオ.		send forth fragrance, fragrant, be scented, smoke (tobacco)
猟	リョウ レフ	かり か.る	game-hunting, shooting, game, bag
羊	ヨウ ヒツ		sheep
款	カ		goodwill, article, section, friendship, collusion
閲	エツ	けみ.する	review, inspection, revision
偵	テイ		spy
喝	カツ		hoarse, scold
敢	カン	あ.えて あ.えない あ.えず	daring, sad, tragic, pitiful, frail, feeble
胎	タイ		womb, uterus
酵	コウ		fermentation
憤	フン	いきどお.る	aroused, resent, be indignant, anger
豚	トン	ぶた	pork, pig
遮	シャ	さえぎ.る	intercept, interrupt, obstruct
扉	ヒ	とびら	front door, title page, front page
硫	リュウ		sulphur
赦	シャ		pardon, forgiveness
窃	セツ	ぬす.む ひそ.か	stealth, steal, secret, private, hushed
泡	ホウ	あわ	bubbles, foam, suds, froth
瑞	ズイ スイ シル	みず-	congratulations
又	ユウ	また また- また.の	or again, furthermore, on the other hand
慨	ガイ		rue, be sad, sigh, lament
紡	ボウ	つむ.ぐ	spinning
恨	コン	うら.む うら.めしい	regret, bear a grudge, resentment, malice, hatred
肪	ボウ		obese, fat
扶	フ	たす.ける	aid, help, assist
戯	ギ ゲ	たわむ.れる ざ.れる じゃ.れる	frolic, play, sport
伍	ゴ イツ		5, 5-man squad, file, line
忌	キ イ.マワシ	い.む い.み	mourning, abhor, detestable, death anniversary
濁	ダク ジョク ニゴ.	にご.る	voiced, uncleanness, wrong, nigori, impurity
奔	ホン		bustle, run
斗	ト ト		Big Dipper, 10 sho (vol), sake dipper
蘭	ラン		orchid, Holland
迅	ジン		swift, fast
肖	ショウ	あやか.る	resemblance
鉢	ハチ ハツ		bowl, rice tub, pot, crown
朽	キュウ ク.チ		decay, rot, remain in seclusion
殻	カク コク バイ	から がら	husk, nut shell
享	キョウ コウ ウ.ケ		receive, undergo, answer (phone), take, get, catch
秦	シン ハ		Manchu dynasty, name given to naturalized foreigners
茅	ボウ ミョウ チガ	かや	miscanthus reed
藩	ハン		clan, enclosure
沙	サ シャ	すな よなげる	sand
輔	ホ フ タス.ケ		help
媒	バイ		mediator, go-between
鶏	ケイ	にわとり とり	chicken
禅	ゼン セン	しずか ゆず.る	Zen, silent meditation
嘱	ショク	しょく.する たの.む	entrust, request, send a message
胴	ドウ		trunk, torso, hull (ship), hub of wheel
迭	テツ		transfer, alternation
挿	ソウ	さ.す はさ.む	insert, put in, graft, wear (sword)
嵐	ラン アラ		storm, tempest
椎	ツイ スイ ウ.	つち	oak, mallet
絹	ケン	きぬ	silk
陪	バイ		obeisance, follow, accompany, attend on
剖	ボウ		divide
譜	フ		musical score, music, note, staff, table, genealogy
郁	イ		cultural progress, perfume
悠	ユ		permanence, distant, long time, leisure
淑	シュク シト.ヤ		graceful, gentle, pure
帆	ハン	ほ	sail
暁	ギョウ キョウ サト.	あかつき	daybreak, dawn, in the event
傑	ケ		greatness, excellence
楠	ナン ダン ゼン ネン クスノ	くす	camphor tree
笛	テキ フ		flute, clarinet, pipe, whistle, bagpipe, piccolo
玲	レ		sound of jewels
奴	ド ヤッ	やつ	guy, slave, manservant, fellow
錠	ジョウ		lock, fetters, shackles
拳	ケン ゲン	こぶし	fist
翔	ショウ ト.	かけ.る	soar, fly
遷	セン	うつ.る うつ.す みやこがえ	transition, move, change
拙	セツ	つたな.い	bungling, clumsy, unskillful
侍	ジ シ ハベ.	さむらい	waiter, samurai, wait upon, serve
尺	シャ		shaku, Japanese foot, measure, scale, rule
峠		とうげ	mountain peak, mountain pass, climax, crest, (kokuji)
篤	トク	あつ.い	fervent, kind, cordial, serious, deliberate
肇	チョウ ジョウ トウ ハジ	はじ.める	beginning
渇	カツ	かわ.く	thirst, dry up, parch
叔	シュ		uncle, youth
雌	シ	め- めす めん	feminine, female
亨	コウ キョウ ホウ タテマツ.		undergo, answer (phone), take, get, catch
堪	カン タン	た.える たま.る こ.らえる こた.える	withstand, endure, support, resist
叙	ジョ	つい.ず ついで	confer, relate, narrate, describe
酢	サク	す	vinegar, sour, acid, tart
吟	ギン		versify, singing, recital
逓	テイ	かわ.る たがいに	relay, in turn, sending
嶺	レイ リョ		peak, summit
甚	ジン ハナハ.ダシ	はなは.だ	tremendously, very, great, exceedingly
喬	キョウ タカ.		high, boasting
崇	スウ アガ.メ		adore, respect, revere, worship
漆	シツ ウル		lacquer, varnish, seven
岬	コウ ミサ		headland, cape, spit, promontory
癖	ヘキ	くせ くせ.に	mannerism, habit, vice, trait, fault, kink
愉	ユ タノ.シ	たの.しい	pleasure, happy, rejoice
寅	イン ト		sign of the tiger, 3-5AM, third sign of Chinese zodiac
礁	ショウ		reef, sunken rock
乃	ナイ ダイ ノ アイ ナン	の すなわ.ち	from, possessive particle, whereupon, accordingly
洲	シュウ ス	しま	continent, sandbar, island, country
屯	トン		barracks, police station, camp
樺	カ カン	かば	birch
槙	テン シン	まき こずえ	twig, ornamental evergreen
姻	イン		matrimony, marry
巌	ガン ケワ.シ	いわ いわお	rock, crag, boulder
擬	ギ	まが.い もど.き	mimic, aim (a gun) at, nominate, imitate
塀	ヘイ ベイ		fence, wall, (kokuji)
唇	シン	くちびる	lips
睦	ボク モク ムツ.	むつ.まじい むつ.む	intimate, friendly, harmonious
閑	カ		leisure
胡	ウ コ ゴ ナン		barbarian, foreign
幽	ユウ		seclude, confine to a room
峻	シュン タカ.	けわ.しい	high, steep
曹	ソウ ゾウ	つかさ ともがら へや	cadet, friend
詠	エイ ウタ.	よ.む	recitation, poem, song, composing
卑	ヒ	いや.しい いや.しむ いや.しめる	lowly, base, vile, vulgar
侮	ブ	あなど.る あなず.る	scorn, despise, make light of, contempt
鋳	チュウ イ シュ シュウ	い.る	casting, mint
抹	マツ		rub, paint, erase
尉	イ ジョウ		military officer, jailer, old man, rank
槻	キ	つき	Zelkova tree
隷	レイ	したが.う しもべ	slave, servant, prisoner, criminal, follower
禍	カ	わざわい	calamity, misfortune, evil, curse
蝶	チョウ		butterfly
酪	ラク		dairy products, whey, broth, fruit juice
茎	ケイ キョウ	くき	stalk, stem
帥	スイ		commander, leading troops, governor
逝	セイ	ゆ.く	departed, die
汽	キ		vapor, steam
琢	タク ミガ.		polish
匿	トク	かくま.う	hide, shelter, shield
襟	キン	えり	collar, neck, lapel
蛍	ケイ	ほたる	lightning-bug, firefly
蕉	ショウ		banana
寡	カ		widow, minority, few
琉	リュウ ル		lapis lazuli
痢	リ		diarrhea
庸	ヨ		commonplace, ordinary, employment
朋	ホウ	とも	companion, friend
坑	コウ		pit, hole
藍	ラン	あい	indigo
賊	ゾク		burglar, rebel, traitor, robber
搾	サク	しぼ.る	squeeze
畔	ハン ア		paddy ridge, levee
遼	リョ		distant
唄	バイ	うた うた.う	songs with samisen
孔	コウ ア		cavity, hole, slit, very, great, exceedingly
橘	キツ タチバ		mandarin orange
漱	ソウ シュウ ス	くちすす.ぐ くちそそ.ぐ うがい すす.ぐ	gargle, rinse mouth
呂	ロ リョ セボ		spine, backbone
拷	ゴウ		torture, beat
嬢	ジョウ	むすめ	lass, girl, Miss, daughter
苑	エン オン ウ.	その	garden, farm, park
巽	ソン	たつみ	southeast
杜	ト トウ ズ	もり ふさ.ぐ やまなし	woods, grove
渓	ケイ	たに たにがわ	mountain stream, valley
翁	オウ オキ		venerable old man
廉	レ		bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peacef
謹	キン	つつし.む	discreet, reverently, humbly
瞳	ドウ トウ ヒト		pupil
湧	ユウ ヨウ ユ ワ.		boil, ferment, seethe, uproar, breed
欣	キン ゴン コン ヨロコ.	よろこ.ぶ	take pleasure in, rejoice
窯	ヨウ	かま	kiln, oven, furnace
褒	ホウ	ほ.める	praise, extol
醜	シュウ	みにく.い しこ	ugly, unclean, shame, bad looking
升	ショウ マ		measuring box, 1.8 liter
殉	ジュン		martyrdom, follow by resigning
煩	ハン ボン	わずら.う わずら.わす	anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome
巴	ハ ウズマ	ともえ	comma-design
禎	テイ タダ.シ	さいわ.い	happiness
劾	ガイ		censure, criminal investigation
堕	ダ	お.ちる くず.す くず.れる	degenerate, descend to, lapse into
租	ソ		tariff, crop tax, borrowing
稜	リョウ ロウ	いつ かど	angle, edge, corner, power, majesty
桟	サン セン カケハ		scaffold, cleat, frame, jetty, bolt (door)
倭	ワ イ シタガ.		Yamato, ancient Japan
婿	セイ	むこ	bridegroom, son-in-law
慕	ボ	した.う	pining, yearn for, love dearly, adore
斐	ヒ		beautiful, patterned
罷	ヒ	まか.り- や.める	quit, stop, leave, withdraw, go
矯	キョウ	た.める	rectify, straighten, correct, reform, cure, control, pretend, falsify
某	ボウ	それがし なにがし	so-and-so, one, a certain, that person
囚	シュウ	とら.われる	captured, criminal, arrest, catch
魁	カイ	さきがけ かしら	charging ahead of others
虹	コウ	にじ	rainbow
鴻	コウ	おおとり ひしくい	large bird, wild goose
泌	ヒツ ヒ		ooze, flow, soak in, penetrate, secrete
於	オ ヨ	おい.て お.ける ああ より	at, in, on, as for
赳	キュ		strong and brave
漸	ゼン		steadily, gradually advancing, finally, barely
蚊	ブン	か	mosquito
葵	キ アオ		hollyhock
厄	ヤク		unlucky, misfortune, bad luck, disaster
藻	ソウ	も	seaweed, duckweed
禄	ロク フ	さいわ.い	fief, allowance, pension, grant, happiness
孟	モウ ボウ ミョウ カシ		chief, beginning
嫡	チャク テキ		legitimate wife, direct descent (non-bastard)
尭	ギョウ タカ.		high, far
嚇	カク	おど.かす	menacing, dignity, majesty, threaten
巳	シ	み	sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac
凸	トツ	でこ	convex, beetle brow, uneven
暢	チョウ ノビ.		stretch
韻	イン		rhyme, elegance, tone
霜	ソウ	しも	frost
硝	ショウ		nitrate, saltpeter
勅	チョク ミコトノ	いまし.める	imperial order
芹	キン セ		parsley
杏	キョウ アン コウ アン		apricot
棺	カン		coffin, casket
儒	ジュ		Confucian
鳳	ホウ フ		male mythical bird
馨	ケイ キョウ カオ	かお.る	fragrant, balmy, favourable
慧	ケイ エ サト		wise
愁	シュウ	うれ.える うれ.い	distress, grieve, lament, be anxious
楼	ロウ	たかどの	watchtower, lookout, high building
彬	ヒン フン アキ.ラ	うるわ.しい	refined, gentle
匡	キョウ オウ スク.		correct, save, assist
眉	ビ ミ	まゆ	eyebrow
欽	キン コン ツツシ.		respect, revere, long for
薪	シン	たきぎ まき	fuel, firewood, kindling
褐	カツ		brown, woollen kimono
賜	シ	たまわ.る たま.う たも.う	grant, gift, boon, results
